Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,4,"O,x,d,x,b,x,O","x,20,0,x","0.2,0.5,0.2,0.5",0.7,0.02666666667,0.5,0.65,"O,O,e,O","0,0","e,f,d,b,a,c,h,g,i"
b,4,"a,x,e,x,c,x,O","0,20,0,x","0.2,0.5,0.2,0.5",0.7,0.02666666667,0.5,0.65,"O,d,f,O","1,0",
c,4,"b,x,f,x,O,x,O","0,20,x,x","0.2,0.5,0.2,0.5",0.7,0.02666666667,0.5,0.65,"O,e,O,O","2,0",
d,6,"O,x,g,x,e,x,a","x,-15,0,-20","0.7,0.5,0.7,0.5",0.75,0.09333333333,0.9,1,"O,O,h,b","0,1",
e,6,"d,x,h,x,f,x,b","0,-15,0,-20","0.7,0.5,0.7,0.5",0.75,0.09333333333,0.9,1,"a,g,i,c","1,1",
f,6,"e,x,i,x,O,x,c","0,-15,x,-20","0.7,0.5,0.7,0.5",0.75,0.09333333333,0.9,1,"b,h,O,O","2,1",
g,-1,"O,x,O,x,h,x,d","x,x,0,15","0.7,0.5,0.7,0.5",0.7,0.09333333333,0.5,0.65,"O,O,O,e","0,2",
h,-1,"g,x,O,x,i,x,e","0,x,0,15","0.7,0.5,0.7,0.5",0.7,0.09333333333,0.5,0.65,"d,O,O,f","1,2",
i,-1,"h,x,O,x,O,x,f","0,x,x,15","0.7,0.5,0.7,0.5",0.7,0.09333333333,0.5,0.65,"e,O,O,O","2,2",
