Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,3,"O,x,b,x,d,x,O","x,5,-18,x","0.6,0.3,0.6,0.3",0.75,0.08333333333,0.8,1,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i,k,j,l"
b,3,"O,x,c,x,e,x,a","x,-5,-18,-5","0.6,0.3,0.6,0.3",0.77,0.08333333333,0.8,1,"O,O,f,d","0,1",
c,3,"O,x,O,x,f,x,b","x,x,-18,5","0.6,0.3,0.6,0.3",0.75,0.08333333333,0.8,1,"O,O,O,e","0,2",
d,5,"a,x,e,x,g,x,O","18,7,-30,x","0.6,0.9,0.6,0.9",0.8,0.08333333333,0.7,0.8,"O,b,h,O","1,0",
e,5,"b,x,f,x,h,x,d","18,-7,-30,-7","0.6,0.9,0.6,0.9",0.82,0.08333333333,0.7,0.8,"a,c,i,g","1,1",
f,5,"c,x,O,x,i,x,e","18,x,-30,7","0.6,0.9,0.6,0.9",0.8,0.08333333333,0.7,0.8,"b,O,O,h","1,2",
g,-2,"d,x,h,x,j,x,O","30,7,-37,x","0.6,0.9,0.6,0.9",0.85,0.08333333333,0.15,0.45,"O,e,k,O","2,0",
h,-2,"e,x,i,x,k,x,g","30,-7,-37,-7","0.6,0.9,0.6,0.9",0.87,0.08333333333,0.15,0.45,"d,f,l,j","2,1",
i,-2,"f,x,O,x,l,x,h","30,x,-37,7","0.6,0.9,0.6,0.9",0.85,0.08333333333,0.15,0.45,"e,O,O,k","2,2",
j,-1,"g,x,k,x,O,x,O","37,7,x,x","0.6,0.5,0.6,0.5",0.81,0.08333333333,0.35,0.4,"O,h,O,O","3,0",
k,-1,"h,x,l,x,O,x,j","37,-7,x,-7","0.6,0.5,0.6,0.5",0.82,0.08333333333,0.35,0.4,"g,i,O,O","3,1",
l,-1,"i,x,O,x,O,x,k","37,x,x,7","0.6,0.5,0.6,0.5",0.81,0.08333333333,0.35,0.4,"h,O,O,O","3,2",
