Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,1,"O,x,b,x,d,x,O","x,0,-40,x","0.5,0.2,0.5,0.2",1,0.02469135802,1,1,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i,k,j,l"
b,1,"O,x,c,x,e,x,a","x,0,-40,0","0.5,0.2,0.5,0.2",1,0.02469135802,1,1,"O,O,f,d","0,1",
c,1,"O,x,O,x,f,x,b","x,x,-40,0","0.5,0.2,0.5,0.2",1,0.02469135802,1,1,"O,O,O,e","0,2",
d,-5,"a,x,e,x,g,x,O","40,0,-40,x","0.5,0.7,0.5,0.7",0.65,0.08641975309,0.4,0.5,"O,b,h,O","1,0",
e,-5,"b,x,f,x,h,x,d","40,0,-40,0","0.5,0.7,0.5,0.7",0.65,0.08641975309,0.4,0.5,"a,c,i,g","1,1",
f,-5,"c,x,O,x,i,x,e","40,x,-40,0","0.5,0.7,0.5,0.7",0.65,0.08641975309,0.4,0.5,"b,O,O,h","1,2",
g,5,"d,x,h,x,j,x,O","40,0,-7,x","0.5,0.6,0.5,0.6",0.7,0.07407407407,0.4,0.5,"O,e,k,O","2,0",
h,5,"e,x,i,x,k,x,g","40,0,-7,0","0.5,0.6,0.5,0.6",0.7,0.07407407407,0.4,0.5,"d,f,l,j","2,1",
i,5,"f,x,O,x,l,x,h","40,x,-7,0","0.5,0.6,0.5,0.6",0.7,0.07407407407,0.4,0.5,"e,O,O,k","2,2",
j,6,"g,x,k,x,O,x,O","7,0,x,x","0.5,0.5,0.5,0.5",0.75,0.06172839506,0.8,0.88,"O,h,O,O","3,0",
k,6,"h,x,l,x,O,x,j","7,0,x,0","0.5,0.5,0.5,0.5",0.75,0.06172839506,0.8,0.88,"g,i,O,O","3,1",
l,6,"i,x,O,x,O,x,k","7,x,x,0","0.5,0.5,0.5,0.5",0.75,0.06172839506,0.8,0.88,"h,O,O,O","3,2",
