Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,-1,"O,x,b,x,d,x,O","x,3,-15,x","0,6,0.8,0.6,0.8",0.85,0.08333333333,0.9,1,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i,k,j,l"
b,-2,"O,x,c,x,e,x,a","x,-3,-15,-3","0,6,0.8,0.6,0.8",0.83,0.08333333333,0.9,1,"O,O,f,d","0,1",
c,-1,"O,x,O,x,f,x,b","x,x,-15,3","0,6,0.8,0.6,0.8",0.85,0.08333333333,0.9,1,"O,O,O,e","0,2",
d,3,"a,x,e,x,g,x,O","15,3,-27,x","0,6,0.8,0.6,0.8",0.82,0.08333333333,0.75,0.87,"O,b,h,O","1,0",
e,3,"b,x,f,x,h,x,d","15,-3,-27,-3","0,6,0.8,0.6,0.8",0.85,0.08333333333,0.75,0.87,"a,c,i,g","1,1",
f,3,"c,x,O,x,i,x,e","15,x,-27,3","0,6,0.8,0.6,0.8",0.82,0.08333333333,0.75,0.87,"b,O,O,h","1,2",
g,-1,"d,x,h,x,j,x,O","27,5,-20,x","0,6,0.8,0.6,0.8",0.73,0.08333333333,0.45,0.61,"O,e,k,O","2,0",
h,-1,"e,x,i,x,k,x,g","27,-5,-20,-5","0,6,0.8,0.6,0.8",0.75,0.08333333333,0.45,0.61,"d,f,l,j","2,1",
i,-1,"f,x,O,x,l,x,h","27,x,-20,5","0,6,0.8,0.6,0.8",0.73,0.08333333333,0.45,0.61,"e,O,O,k","2,2",
j,3,"g,x,k,x,O,x,O","20,7,x,x","0,6,0.8,0.6,0.8",0.8,0.08333333333,0.22,0.31,"O,h,O,O","3,0",
k,3,"h,x,l,x,O,x,j","20,-7,x,-7","0,6,0.8,0.6,0.8",0.81,0.08333333333,0.22,0.31,"g,i,O,O","3,1",
l,3,"i,x,O,x,O,x,k","20,x,x,7","0,6,0.8,0.6,0.8",0.8,0.08333333333,0.22,0.31,"h,O,O,O","3,2",
