Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,-2,"O,x,b,x,d,x,O","x,5,-35,x","0.6,0.4,0.6,0.4",0.4,0.05128205128,0.9,1,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i,k,j,l"
b,-2,"O,x,c,x,e,x,a","x,-5,-35,-5","0.6,0.4,0.6,0.4",0.4,0.05128205128,0.9,1,"O,O,f,d","0,1",
c,-2,"O,x,O,x,f,x,b","x,x,-35,5","0.6,0.4,0.6,0.4",0.4,0.05128205128,0.9,1,"O,O,O,e","0,2",
d,-1,"a,x,e,x,g,x,O","35,-7,-30,x","0.6,0.9,0.6,0.9",0.45,0.1153846154,0.72,0.8,"O,b,h,O","1,0",
e,-1,"b,x,f,x,h,x,d","35,-7,-30,-7","0.6,0.9,0.6,0.9",0.45,0.1153846154,0.72,0.8,"a,c,i,g","1,1",
f,-1,"c,x,O,x,i,x,e","35,x,-30,7","0.6,0.9,0.6,0.9",0.45,0.1153846154,0.72,0.8,"b,O,O,h","1,2",
g,4,"d,x,h,x,j,x,O","30,7,-35,x","0.6,0.9,0.6,0.9",0.55,0.1153846154,0.52,0.65,"O,e,k,O","2,0",
h,4,"e,x,i,x,k,x,g","30,-7,-35,-7","0.6,0.9,0.6,0.9",0.55,0.1153846154,0.52,0.65,"d,f,l,j","2,1",
i,4,"f,x,O,x,l,x,h","30,x,-35,7","0.6,0.9,0.6,0.9",0.55,0.1153846154,0.52,0.65,"e,O,O,k","2,2",
j,5,"g,x,k,x,O,x,O","35,5,x,x","0.6,0.4,0.6,0.4",0.35,0.05128205128,0.2,0.32,"O,h,O,O","3,0",
k,5,"h,x,l,x,O,x,j","35,-5,x,-5","0.6,0.4,0.6,0.4",0.35,0.05128205128,0.2,0.32,"g,i,O,O","3,1",
l,5,"i,x,O,x,O,x,k","35,x,x,-5","0.6,0.4,0.6,0.4",0.35,0.05128205128,0.2,0.32,"h,O,O,O","3,2",
