Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,-3,"O,x,b,x,d,x,O","x,0,-25,x","0.8,1.3,0.8,1.3",0.5,0.1056910569,0.85,0.95,"O,O,e,O","0,0","b,a,c,e,f,d"
b,-3,"O,x,c,x,e,x,a","x,0,-25,0","0.8,1.3,0.8,1.3",0.5,0.1056910569,0.85,0.95,"O,O,f,d","0,1",
c,-3,"O,x,O,f,x,b","x,x,-25,0","0.8,1.3,0.8,1.3",0.5,0.1056910569,0.85,0.95,"O,O,O,e","0,2",
d,-2,"a,x,e,x,O,x,O","25,0,x,x","0.8,1.3,0.8,1.3",0.4,0.1056910569,0.55,0.62,"O,b,O,O","1,0",
e,-2,"b,x,f,x,O,x,d","25,0,x,0","0.8,1.3,0.8,1.3",0.4,0.1056910569,0.55,0.62,"a,c,O,O","1,1",
f,-2,"c,x,O,x,O,x,e","25,x,x,0","0.8,1.3,0.8,1.3",0.4,0.1056910569,0.55,0.62,"b,O,O,O","1,2",
