Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,3,"O,x,b,x,d,x,O","X,5,-40,x","0.5, 0.5, 0.5, 0.5",0.8,0.076,0.9,0.95,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i,k,j,l"
b,3,"O,x,c,x,e,x,a","X,-5,-35,-5","0.5, 0.5, 0.5, 0.5",0.8,0.076,0.93,1,"O,O,f,d","0,1",
c,3,"O,x,O,x,f,x,b","x,x,-40,5","0.5, 0.5, 0.5, 0.5",0.8,0.076,0.9,0.95,"O,O,O,e","0,2",
d,6,"a,x,e,x,g,x,O","40,10,-20,x","0.5, 0.7, 0.5, 0.7",0.6,0.1060606061,0.8,0.85,"O,b,h,O","1,0",
e,7,"b,x,f,x,h,x,d","35,-10,-20,-10","0.5, 0.7, 0.5, 0.7",0.6,0.1060606061,0.8,0.85,"a,c,i,g","1,1",
f,6,"c,x,O,x,i,x,e","40,x,-20,10","0.5, 0.7, 0.5, 0.7",0.6,0.1060606061,0.8,0.85,"b,O,O,h","1,2",
g,-1,"d,x,h,x,j,x,O","20,5,-5,x","0.5, 0.7, 0.5, 0.7",0.75,0.1060606061,0.5,0.7,"O,e,k,O","2,0",
h,-2,"e,x,i,x,k,x,g","20,-5,-5,-5","0.5, 0.7, 0.5, 0.7",0.75,0.1060606061,0.5,0.7,"d,f,l,j","2,1",
i,-2,"f,x,O,x,l,x,h","20,x,-5,5","0.5, 0.7, 0.5, 0.7",0.75,0.1060606061,0.5,0.7,"e,O,O,k","2,2",
j,-1,"g,x,k,x,O,x,O","5,5,x,x","0.5, 0.5, 0.5, 0.5",0.65,0.076,0.2,0.33,"O,h,O,O","3,0",
k,-2,"h,x,l,x,O,x,j","5,-5,x,-5","0.5, 0.5, 0.5, 0.5",0.65,0.076,0.2,0.33,"g,i,O,O","3,1",
l,-1,"i,x,O,x,O,x,k","5,x,x,5","0.5, 0.5, 0.5, 0.5",0.65,0.076,0.2,0.33,"h,O,O,O","3,2",
