Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,3,"O,x,b,x,d,x,O","x,5,-20,x","0.4,0.4,0.4,0.4",0.8,0.06666666667,0.9,0.95,"O,O,d,O","0,0","b,a,c,d,e,f,g,i,h,j"
b,3,"O,x,c,x,e,d,x,a","x,-5,-20,-20,-5","0.4,0.4,0.2,0.2,0.4",0.82,0.06666666667,0.93,1,"O,O,e,d","0,1",
c,3,"O,x,O,x,e,x,b","x,x,-20,5","0.4,0.4,0.4,0.4",0.8,0.06666666667,0.9,0.95,"O,O,O,e","0,2",
d,6,"a,b,x,e,x,f,x,O","20,20,0,-30,x","0.4,0.2,0.6,0.6,0.6",0.75,0.15,0.72,0.85,"O,b,g,O","1,0",
e,6,"b,c,x,O,x,g,x,d","20,20,x,-30,0","0.2,0.4, 0.6, 0.6, 0.6",0.75,0.15,0.72,0.85,"b,O,O,f","1,1",
f,6,"d,x,g,x,i,h,x,O","30,0,-20,-20,x","0.6,0.6,0.2,0.4,0.6",0.75,0.15,0.43,0.55,"O,e,i,O","2,0",
g,6,"e,x,O,x,j,i,x,f","20,x,-20,-20,0","0.6,0.6,0.4,0.2,0.6",0.75,0.15,0.43,0.55,"d,O,O,i","2,1",
h,4,"f,x,i,x,O,x,O","20,5,x,x","0.4,0.4,0.4,0.4",0.8,0.06666666667,0.17,0.28,"O,f,O,O","3,0",
i,4,"f,g,x,j,x,O,x,h","20,20,-5,x,-5","0.2,0.2,0.4,0.4,0.4",0.82,0.06666666667,0.17,0.28,"f,g,O,O","3,1",
j,4,"g,x,O,x,O,x,i","20,x,x,5","0.4,0.4,0.4,0.4",0.8,0.06666666667,0.17,0.28,"g,O,O,O","3,2",
