Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,6,"b,x,d,e,x,O,x,O","0,15,15,x,x","0.35,0.2,0.4,0,35,0.6",0.8,0.08333333333,0.45,0.6,"O,d,O,O","0,0","d,c,e,a,b,g,h,f,j,i,k"
b,6,"O,x,c,d,x,a,x,O","x,15,15,0,x","0.35,0.4,0.2,0.35,0.6",0.8,0.08333333333,0.45,0.6,"O,O,d,O","0,1",
c,4,"O,x,h,x,d,x,b","x,-10,0,-15","0.35,0.4,0.35,0.4",0.75,0.05555555556,0.9,1,"O,O,g,b","1,2",
d,4,"c,x,g,x,e,x,a,b","0,-10,0,-15,-15","0.35,0.4,0.35,0.2,0.2",0.75,0.05555555556,0.9,1,"b,h,f,a","1,1",
e,4,"d,x,f,x,O,x,a","0,-10,x,-15","0.35,0.4,0.35,0.4",0.75,0.05555555556,0.9,1,"a,g,O,O","1,0",
f,3,"g,x,k,x,O,x,e","0,-25,x,10","0.35,0.4,0.35,0.4",0.72,0.05555555556,0.4,0.8,"d,j,O,O","2,0",
g,3,"h,x,j,x,f,x,d","0,-25,0,10","0.35,0.4,0.35,0.4",0.72,0.05555555556,0.4,0.8,"c,i,k,e","2,1",
h,3,"O,x,i,x,g,x,c","x,-25,0,10","0.35,0.4,0.35,0.4",0.72,0.05555555556,0.4,0.8,"O,O,j,d","2,2",
i,3,"O,x,O,x,j,x,h","x,x,0,25","0.35,0.4,0.35,0.4",0.72,0.05555555556,0.4,0.8,"O,O,O,g","3,2",
j,3,"i,x,O,x,k,x,g","0,x,0,25","0.35,0.4,0.35,0.4",0.72,0.05555555556,0.4,0.8,"h,O,O,f","3,1",
k,3,"j,x,O,x,O,x,f","0,x,x,25","0.35,0.4,0.35,0.4",0.72,0.05555555556,0.4,0.8,"g,O,O,O","3,0",
