Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,4,"O,x,b,x,d,x,O","x,0,-10,x","0.5,0.7,0.5,0.7",0.7,0.08641975309,0.8,0.88,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i"
b,4,"O,x,c,x,e,x,a","x,0,-10,0","0.5,0.7,0.5,0.7",0.7,0.08641975309,0.8,0.88,"O,O,f,d","0,1",
c,4,"O,x,O,x,f,x,b","x,x,-10,0","0.5,0.7,0.5,0.7",0.7,0.08641975309,0.8,0.88,"O,O,O,e","0,2",
d,3,"a,x,e,x,g,x,O","10,0,-7,x","0.5,0.5,0.5,0.5",0.75,0.06172839506,0.8,0.88,"O,b,h,O","1,0",
e,3,"b,x,f,x,h,x,d","10,0,-7,0","0.5,0.5,0.5,0.5",0.75,0.06172839506,0.8,0.88,"a,c,i,g","1,1",
f,3,"c,x,O,x,i,x,e","10,x,-7,0","0.5,0.5,0.5,0.5",0.75,0.06172839506,0.8,0.88,"b,O,O,h","1,2",
g,-1,"d,x,h,x,O,x,O","7,0,x,x","0.5,0.6,0.5,0.6",0.7,0.07407407407,0.4,0.5,"O,e,O,O","2,0",
h,-1,"e,x,i,x,O,x,g","7,0,x,0","0.5,0.6,0.5,0.6",0.7,0.07407407407,0.4,0.5,"d,f,O,O","2,1",
i,-1,"f,x,O,x,O,x,h","7,x,x,0","0.5,0.6,0.5,0.6",0.7,0.07407407407,0.4,0.5,"e,O,O,O","2,2",
