Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,-3,"O,x,d,x,b,x,O","x,20,5,x","0.5,0.4,0.5,0.4",0.8,0.06666666667,0.92,1,"O,O,e,O","0,2","h,g,i,e,f,d,b,a,c"
b,-4,"a,x,e,x,c,x,O","-5,20,-5,x","0.5,0.4,0.5,0.4",0.75,0.06666666667,0.92,1,"O,d,f,O","0,1",
c,-3,"b,x,f,x,O,x,O","5,20,x,x","0.5,0.4,0.5,0.4",0.8,0.06666666667,0.92,1,"O,e,O,O","0,0",
d,-2,"O,x,g,x,e,x,a","x,20,10,-20","0.5,0.4,0.5,0.4",0.75,0.06666666667,0.25,0.4,"O,O,h,b","1,2",
e,-2,"d,x,h,x,f,x,b","-10,-20,-10,20","0.5,0.4,0.5,0.4",0.72,0.06666666667,0.25,0.4,"a,g,i,c","1,1",
f,-2,"e,x,i,x,O,x,c","10,20,x,-20","0.5,0.4,0.5,0.4",0.75,0.06666666667,0.25,0.4,"b,h,O,O","1,0",
g,5,"O,x,O,x,h,x,d","x,x,5,-20","0.5,0.4,0.5,0.4",0.72,0.06666666667,0.5,0.6,"O,O,O,e","2,2",
h,5,"g,x,O,x,i,x,e","-5,x,-5,-20","0.5,0.4,0.5,0.4",0.72,0.06666666667,0.5,0.6,"d,O,O,f","2,1",
i,5,"h,x,O,x,O,x,f","5,x,x,-20","0.5,0.4,0.5,0.4",0.72,0.06666666667,0.5,0.6,"e,O,O,O","2,0",
