Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,-1,"O,x,b,x,d,x,O","x,7,-20,x","0.6,0.6,0.6,0.6",0.85,0.05555555556,0.9,1,"O,O,e,O","0,0","b,a,c,e,d,f,h,g,i,k,j,l"
b,-1,"O,x,c,x,e,x,a","x,7,-20,7","0.7,0.6,0.7,0.6",0.85,0.06481481481,0.92,1,"O,O,f,d","0,1",
c,-1,"O,x,O,x,f,x,b","x,x,-20,7","0.6,0.6,0.6,0.6",0.85,0.05555555556,0.9,1,"O,O,O,e","0,2",
d,-3,"a,x,e,x,g,x,O","20,5,-27,x","0.6,0.9,0.6,0.9",0.7,0.08333333333,0.7,0.79,"O,b,h,O","1,0",
e,-3,"b,x,f,x,h,x,d","20,-5,-27,-5","0.7,0.9,0.7,0.9",0.72,0.09722222222,0.72,0.8,"a,c,i,g","1,1",
f,-3,"c,x,O,x,i,x,e","20,x,-27,5","0.6,0.9,0.6,0.9",0.7,0.08333333333,0.7,0.79,"b,O,O,h","1,2",
g,3,"d,x,h,x,j,x,O","27,3,-15,x","0.6,1,0.6,1",0.9,0.09259259259,0.55,0.6,"O,e,k,O","2,0",
h,3,"e,x,i,x,k,x,g","27,-3,-15,-3","0.7,1,0.7,1",0.9,0.1080246914,0.55,0.6,"d,f,l,j","2,1",
i,3,"f,x,O,x,l,x,h","27,x,-15,3","0.6,1,0.6,1",0.9,0.09259259259,0.55,0.6,"e,O,O,k","2,2",
j,4,"g,x,k,x,O,x,O","15,3,x,x","0.6,1.1,0.6,1.1",0.85,0.1018518519,0.23,0.27,"O,h,O,O","3,0",
k,4,"h,x,l,x,O,x,j","15,-3,x,-3","0.7,1.1, 0.7,1.1",0.85,0.1188271605,0.23,0.27,"g,i,O,O","3,1",
l,4,"i,x,O,x,O,x,k","15,x,x,3","0.6,1.1,0.6,1.1",0.85,0.1018518519,0.23,0.27,"h,O,O,O","3,2",
