Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,3,"O,x,d,x,b,x,O","x,20,5,x","0.8,0.7,0.8,0.7",0.85,0.08080808081,0.2,0.6,"O,O,e,O","0,0","e,b,d,f,a,c,g,h,i,j"
b,3,"a,x,e,x,c,x,O","-5,20,-5,x","0.8,0.7,0.8,0.7",0.85,0.08080808081,0.25,0.65,"O,d,f,O","1,0",
c,3,"b,x,f,x,O,x,O","5,20,x,x","0.8,0.7,0.8,0.7",0.85,0.08080808081,0.2,0.6,"O,e,O,O","2,0",
d,5,"O,x,g,x,e,x,a","x,-15,8,-20","0.7,0.7,0.7,0.7",0.8,0.07070707071,0.25,0.85,"O,O,g,b","0,1",
e,5,"d,x,g,h,x,f,x,b","-8,-15,-15,-8,-20","0.7,0.35,0.35,0.7,0.7",0.8,0.07070707071,0.27,0.9,"a,g,h,c","1,1",
f,5,"e,x,h,x,O,x,c","8,-15,x,-20","0.7,0.7,0.7,0.7",0.8,0.07070707071,0.25,0.85,"b,h,O,O","2,1",
g,3,"O,x,i,x,h,x,e,d","x,-10,0,15,15","0.9,1.05,0.9,0.35,0.7",0.9,0.1363636364,0.2,0.6,"O,O,j,e","0,2",
h,3,"g,x,j,x,O,x,f,e","0,-10,x,15,15","0.9,1.05,0.9,0.7,0.35",0.9,0.1363636364,0.2,0.6,"e,i,O,O","2,2",
i,3,"O,x,O,x,j,x,g","x,x,0,10","0.9,1.05,0.9,1.05",0.9,0.1363636364,0.1,0.25,"O,O,O,h","0,3",
j,3,"i,x,O,x,O,x,h","0,x,x,10","0.9,1.05,0.9,1.05",0.9,0.1363636364,0.1,0.25,"g,O,O,O","3,3",
